CONTROL_NUMBER,CARD_PROM_12,CHILDREN,DONOR_AGE,DONOR_GENDER,FILE_CARD_GIFT,FREQUENCY_STATUS_97NK,HOME_OWNER,INCOME_GROUP,LAST_GIFT_AMT,LIFETIME_CARD_PROM,LIFETIME_GIFT_AMOUNT,LIFETIME_GIFT_COUNT,LIFETIME_MAX_GIFT_AMT,LIFETIME_MIN_GIFT_AMT,LIFETIME_PROM,MEDIAN_HOME_VALUE,MEDIAN_HOUSEHOLD_INCOME,MONTHS_SINCE_FIRST_GIFT,MONTHS_SINCE_LAST_GIFT,MONTHS_SINCE_LAST_PROM_RESP,NUMBER_PROM_12,PCT_ATTRIBUTE1,PCT_ATTRIBUTE2,PCT_ATTRIBUTE3,PCT_ATTRIBUTE4,PCT_OWNER_OCCUPIED,PEP_STAR,PER_CAPITA_INCOME,RECENCY_STATUS_96NK,RECENT_AVG_CARD_GIFT_AMT,RECENT_AVG_GIFT_AMT,RECENT_CARD_RESPONSE_COUNT,RECENT_CARD_RESPONSE_PROP,RECENT_RESPONSE_COUNT,RECENT_RESPONSE_PROP,RECENT_STAR_STATUS,SES,URBANICITY,WEALTH_RATING,TARGET_B
98998,6.0,2.0,,M,2.0,2.0,H,2.0,28.0,14.0,69.0,4.0,28.0,10.0,35.0,,178.0,36.0,25.0,25.0,12.0,0.0,32.0,28.0,37.0,,1.0,11099.0,A,12.5,17.25,2.0,0.2,4.0,0.19,0.0,3,R,,0
188582,8.0,2.0,77.0,F,7.0,2.0,H,2.0,10.0,25.0,115.0,13.0,15.0,5.0,58.0,321.0,238.0,125.0,6.0,17.0,17.0,,47.0,29.0,53.0,74.0,1.0,9079.0,S,15.0,13.5,1.0,0.143,2.0,0.125,1.0,3,T,2.0,0
6286,7.0,1.0,,F,8.0,2.0,U,2.0,20.0,32.0,308.0,28.0,25.0,5.0,97.0,4050.0,611.0,125.0,19.0,19.0,15.0,0.0,24.0,19.0,41.0,87.0,0.0,28903.0,A,15.0,17.5,1.0,0.1,,0.095,0.0,1,U,5.0,0
134329,,0.0,78.0,F,2.0,1.0,U,,25.0,25.0,170.0,6.0,50.0,10.0,62.0,769.0,196.0,81.0,18.0,18.0,13.0,2.0,19.0,31.0,19.0,35.0,0.0,14409.0,A,0.0,37.5,0.0,0.0,2.0,0.091,-7.809472848272476,2,C,3.0,0
109353,4.0,2.0,,M,-10.098569970338596,1.0,U,,15.0,9.0,25.0,2.0,15.0,10.0,21.0,811.0,401.0,31.0,17.0,17.0,10.0,0.0,25.0,35.0,,88.0,0.0,12306.0,A,12.5,12.5,2.0,0.333,2.0,0.154,0.0,1,R,,0
182760,3.0,4.0,69.0,F,0.0,1.0,H,1.0,23.0,4.0,23.0,1.0,23.0,23.0,10.0,822.0,311.0,15.0,15.0,15.0,8.0,2.0,40.0,47.0,29.0,81.0,0.0,12652.0,E,0.0,23.0,0.0,0.0,1.0,0.5,0.0,2,R,,0
96344,3.0,1.0,,F,11.0,2.0,H,2.0,10.0,25.0,117.0,19.0,10.0,3.0,62.0,293.0,219.0,129.0,15.0,15.0,7.0,0.0,17.0,0.0,49.0,78.0,1.0,10914.0,A,7.0,9.0,1.0,0.143,3.0,0.2,10.0,3,T,1.0,1
44912,4.0,0.0,33.0,F,1.0,1.0,H,2.0,15.0,5.0,15.0,1.0,15.0,15.0,14.0,707.0,257.0,16.0,16.0,16.0,12.0,0.0,48.0,,58.0,86.0,0.0,9763.0,F,15.0,15.0,1.0,0.5,1.0,0.2,0.0,3,C,,0
150660,6.0,4.0,51.0,F,-10.098569970338596,4.0,U,1.0,13.0,33.0,347.0,34.0,16.0,3.0,81.0,901.0,327.0,128.0,20.0,20.0,13.0,0.0,22.0,11.0,48.0,63.0,1.0,17854.0,S,13.25,13.17,4.0,0.364,6.0,0.286,1.0,1,U,9.0,1
163860,,0.0,,U,1.0,1.0,H,2.0,25.0,7.0,25.0,1.0,25.0,25.0,16.0,2701.0,439.0,21.0,21.0,21.0,11.0,0.0,19.0,13.0,34.0,45.0,0.0,21265.0,F,25.0,25.0,1.0,0.333,1.0,0.143,0.0,1,U,,0
172962,4.0,0.0,35.0,F,1.0,1.0,U,4.0,20.0,8.0,25.0,2.0,20.0,5.0,22.0,942.0,229.0,29.0,19.0,19.0,12.0,0.0,38.0,32.0,18.0,53.0,0.0,12167.0,A,5.0,12.5,1.0,0.2,2.0,0.167,0.0,3,C,,0
42096,4.0,0.0,,F,0.0,1.0,U,2.0,20.0,6.0,20.0,1.0,20.0,20.0,15.0,355.0,208.0,20.0,20.0,20.0,10.0,0.0,43.0,22.0,62.0,9.563982410210315,0.0,9881.0,F,0.0,20.0,0.0,0.0,1.0,0.143,0.0,3,C,,1
47977,5.0,0.0,,M,5.0,2.0,U,1.0,6.0,22.0,78.0,8.0,16.0,5.0,60.0,425.0,205.0,101.0,18.0,20.0,12.0,0.0,19.0,26.0,39.0,86.0,1.0,,S,0.0,16.0,0.0,0.0,1.0,0.063,1.0,3,R,3.0,0
1611,9.0,3.0,78.0,M,17.0,1.0,H,1.0,5.0,44.0,,,20.0,2.0,,409.0,114.0,128.0,4.0,18.0,22.0,1.0,36.0,21.0,43.0,40.0,1.0,8565.0,A,15.0,13.2,4.0,0.364,5.0,0.227,5.0,3,C,4.0,0
1329,6.0,3.0,65.0,M,1.0,3.0,U,6.0,14.0,13.0,45.0,4.0,16.0,5.0,36.0,745.0,259.0,55.0,17.0,17.0,17.0,0.0,0.0,0.0,0.0,59.0,0.0,9966.0,N,10.0,13.33,1.0,0.143,3.0,0.231,0.0,?,?,,0
186349,6.0,0.0,,U,3.0,1.0,U,,0.0,16.0,105.0,4.0,32.0,0.0,44.0,623.0,268.0,45.0,9.0,22.0,16.0,0.0,28.0,25.0,38.0,70.0,0.0,12277.0,A,26.5,28.33,2.0,0.2,,0.143,0.0,2,C,0.0,0
90909,5.0,3.0,63.0,F,1.0,3.0,H,6.0,10.0,8.0,20.0,3.0,10.0,5.0,17.0,881.0,256.0,22.0,17.0,17.0,11.0,0.0,31.0,38.0,30.0,19.0,0.0,11782.0,N,5.0,7.5,1.0,0.25,2.0,0.25,0.0,2,S,,0
159104,6.0,4.0,52.0,F,2.0,1.0,H,5.0,,16.0,57.0,4.0,20.0,5.0,39.0,3350.0,655.0,57.0,18.0,18.0,12.0,0.0,42.0,21.0,38.0,97.0,0.0,25599.0,A,20.0,20.0,1.0,0.111,2.0,0.105,0.0,1,C,8.0,0
8204,5.0,0.0,82.0,F,10.0,1.0,H,5.0,26.0,31.0,212.0,16.0,26.0,3.0,97.0,301.0,205.0,126.0,27.0,27.0,27.0,0.0,25.0,36.0,29.0,82.0,-0.5298718146873891,8803.0,A,0.0,26.0,0.0,0.0,1.0,0.045,3.0,3,,1.0,1
121375,6.0,4.0,50.0,M,11.0,3.0,U,,8.0,21.0,105.0,18.0,8.0,3.0,46.0,638.0,292.0,57.0,21.0,21.0,12.0,1.0,22.0,29.0,5.0,1.0,1.0,15964.0,S,7.0,7.17,5.0,0.455,6.0,0.316,1.0,2,S,5.0,0
176091,6.0,3.0,50.0,F,4.0,1.0,U,2.0,50.0,25.0,160.0,8.0,50.0,10.0,65.0,663.0,157.0,89.0,19.0,19.0,14.0,0.0,27.0,18.0,27.0,23.0,0.0,11247.0,A,0.0,37.5,0.0,0.0,2.0,0.091,0.0,2,C,0.0,0
129735,6.0,3.0,55.0,F,7.0,5.279946467612834,H,2.0,28.0,,196.0,12.0,28.0,5.0,75.0,1155.0,563.0,116.0,18.0,18.0,13.0,0.0,30.0,67.0,5.0,91.0,1.0,17515.0,A,23.5,24.0,2.0,0.182,4.0,0.182,0.0,1,S,9.0,0
131606,6.0,4.0,47.0,M,7.0,4.0,H,2.0,9.0,26.0,112.0,,10.0,5.0,,726.0,224.0,93.0,15.0,15.0,11.0,2.0,37.0,21.0,59.0,43.0,1.0,13885.0,A,9.0,9.0,3.0,0.333,6.0,0.316,0.0,2,C,,0
105335,4.0,2.0,45.0,F,6.0,2.0,H,5.0,20.0,,160.0,11.0,20.0,5.0,55.0,246.0,188.0,98.0,18.0,18.0,10.0,1.0,37.0,28.0,46.0,72.0,1.0,9532.0,S,17.5,16.67,2.0,0.222,3.0,0.176,1.0,2,R,1.0,0
164697,4.0,2.0,80.0,F,6.0,5.279946467612834,,,15.0,26.0,56.0,10.0,15.0,3.0,59.0,2235.0,441.0,125.0,19.0,19.0,11.0,0.0,29.0,46.0,13.0,79.0,1.0,15262.0,A,0.0,12.5,0.0,0.0,2.0,0.118,0.0,2,S,6.0,1
170386,5.0,4.0,,F,9.0,2.0,U,,10.0,24.0,104.0,15.0,10.0,5.0,63.0,892.0,295.0,92.0,30.290179826175432,16.0,12.0,0.0,36.0,32.0,28.0,68.0,1.0,12772.0,,9.33,9.5,3.0,0.375,4.0,0.211,1.0,2,R,2.0,1
134256,6.0,4.0,73.0,M,2.0,3.0,H,6.0,6.0,18.0,78.0,6.0,20.0,6.0,45.0,892.0,474.0,56.0,17.0,19.0,13.0,0.0,16.0,76.0,8.0,93.0,0.0,12122.0,A,0.0,20.0,0.0,0.0,2.0,0.1,0.0,1,S,9.0,0
22783,5.0,2.0,56.0,M,2.0,2.0,H,5.0,20.0,10.0,40.0,3.0,20.0,10.0,22.0,726.0,346.0,28.0,15.0,15.0,11.0,10.0,32.0,63.0,22.0,67.0,0.0,13423.0,A,15.0,15.0,2.0,0.333,2.0,0.154,0.0,1,T,,0
137613,6.0,4.0,,F,1.0,1.0,H,4.0,50.0,11.0,70.0,2.0,50.0,20.0,25.0,439.0,232.0,30.0,19.0,19.0,13.0,0.0,37.0,17.0,42.0,73.0,0.0,10645.0,A,20.0,35.0,1.0,0.143,2.0,0.133,0.0,2,T,,0
57087,6.0,1.0,51.0,M,2.0,2.0,H,7.0,15.0,12.0,35.0,,15.0,10.0,28.0,821.0,259.0,33.0,18.0,18.0,13.0,2.0,16.0,0.0,33.0,73.0,0.0,10613.0,A,10.0,11.67,2.0,0.25,3.0,0.167,0.0,2,R,,1
167098,6.0,1.0,57.0,F,2.0,1.0,H,4.0,40.0,23.0,113.0,8.0,40.0,3.0,60.0,3223.0,487.0,79.0,25.0,,12.0,0.0,30.0,38.0,45.0,74.0,0.0,22177.0,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,S,7.0,0
82409,,3.0,,,7.0,3.0,H,4.0,9.0,18.0,118.0,13.0,11.0,5.0,40.0,699.0,393.0,44.0,21.0,21.0,12.0,0.0,31.0,31.0,57.0,85.0,1.0,14925.0,,9.67,9.78,6.0,0.545,9.0,0.409,0.0,2,T,2.0,0
135804,5.0,3.0,,M,1.0,1.0,U,4.0,28.0,7.0,28.0,1.0,28.0,28.0,17.0,648.0,270.0,20.0,20.0,20.0,11.0,0.0,29.0,39.0,26.0,57.0,0.0,11040.0,F,28.0,28.0,1.0,,1.0,0.143,0.0,3,U,,0
47922,6.0,0.0,,M,7.0,4.0,U,,12.0,18.0,76.0,9.0,12.0,3.0,44.0,549.0,272.0,52.0,17.0,17.0,14.0,0.0,,27.0,32.0,87.0,1.0,12231.0,S,10.5,10.4,4.0,0.4,5.0,0.263,1.0,2,R,6.0,0
25441,6.0,4.0,,F,5.0,4.0,U,,5.0,17.0,51.0,11.0,5.0,3.0,40.0,717.0,377.0,45.0,18.0,18.0,13.0,16.0,45.0,73.0,20.0,82.0,1.0,11751.0,S,5.0,5.0,3.0,0.273,5.0,0.227,1.0,2,T,,0
154979,6.0,1.0,54.0,M,3.0,1.0,H,4.0,25.0,20.0,120.0,5.0,25.0,20.0,46.0,1139.0,350.0,57.0,18.0,30.0,13.0,4.0,42.0,62.0,13.0,74.0,0.0,17344.0,A,25.0,25.0,1.0,0.091,2.0,0.091,0.0,2,S,5.0,0
81504,6.0,1.0,75.0,M,12.0,3.0,H,2.0,10.0,25.0,154.0,24.0,10.0,5.0,,461.0,156.0,86.0,21.0,21.0,12.0,0.0,64.80438529221658,18.0,45.0,76.0,1.0,7977.0,S,8.67,9.0,3.0,0.3,4.0,0.2,1.0,2,R,0.0,0
58447,6.0,2.0,67.0,F,3.0,3.0,U,1.0,10.0,13.0,46.0,5.0,11.0,5.0,29.0,,300.0,33.0,16.0,16.0,14.0,0.0,27.0,40.0,37.0,57.0,1.0,13719.0,A,10.33,10.25,3.0,0.333,4.0,0.235,0.0,2,T,,1
98756,6.0,4.0,67.0,F,,1.0,H,5.0,20.0,29.0,90.0,9.0,20.0,2.0,66.0,887.0,497.0,122.0,17.0,17.0,13.0,0.0,45.0,25.0,34.0,85.0,0.0,23206.0,A,0.0,20.0,0.0,0.0,1.0,0.053,0.0,1,C,8.0,0
140493,6.0,3.0,,M,12.0,1.0,H,2.0,25.0,29.0,203.0,21.0,25.0,,69.0,450.0,243.0,130.0,19.0,19.0,13.0,0.0,39.0,49.0,46.0,67.0,1.0,10783.0,A,0.0,25.0,,0.0,1.0,0.071,0.0,2,C,3.0,0
96707,5.0,4.0,45.0,M,1.0,1.0,H,4.0,17.0,,37.0,3.0,17.0,5.0,31.0,713.0,258.0,41.0,18.0,18.0,11.0,0.0,37.0,19.0,38.0,44.0,0.0,16563.0,A,0.0,16.0,0.0,-0.3689883264245675,2.0,0.105,0.0,2,C,,0
89948,6.0,2.0,,M,4.0,1.0,U,3.0,20.0,24.0,111.0,9.0,20.0,5.0,64.0,1573.0,412.0,89.0,21.0,21.0,12.0,,19.0,38.0,0.0,,1.0,21283.0,A,20.0,20.0,1.0,0.1,1.0,0.05,0.0,1,S,8.0,0
184223,2.0,-2.299824219944762,,F,2.0,1.0,U,,20.0,10.0,95.0,5.0,25.0,10.0,26.0,553.0,322.0,38.0,24.0,24.0,6.0,2.0,35.0,42.0,39.0,84.0,0.0,12699.0,A,20.0,18.75,2.0,0.25,4.0,0.211,0.0,2,S,,0
65240,4.0,2.0,39.0,F,19.09289694129685,1.0,H,4.0,20.0,8.0,30.0,2.0,20.0,10.0,22.0,507.0,381.0,31.0,17.0,17.0,10.0,0.0,29.0,16.0,28.0,90.0,0.0,13555.0,A,20.0,15.0,1.0,0.2,2.0,0.167,0.0,3,U,,0
126607,6.0,1.0,,M,3.0,3.0,H,6.0,5.0,10.0,23.0,4.0,10.0,3.0,23.0,505.0,198.0,28.0,17.0,17.0,12.0,0.0,22.0,28.0,42.0,92.0,1.0,42075.70922160773,A,6.0,5.75,3.0,0.5,4.0,0.333,0.0,2,T,,0
65664,5.0,3.0,53.0,F,1.0,1.0,U,5.0,17.0,12.0,47.0,3.0,20.0,10.0,28.0,317.0,,33.0,26.0,26.0,10.0,0.0,34.0,32.0,40.0,45.0,0.0,9940.0,A,20.0,18.5,,0.111,2.0,0.105,0.0,4,,,0
126774,6.0,4.0,41.0,M,2.0,3.0,H,7.0,10.0,16.0,50.0,6.0,10.0,5.0,40.0,561.0,429.0,57.0,18.0,18.0,12.0,2.0,37.0,48.0,5.0,80.0,0.0,15183.0,A,9.0,9.5,1.0,0.111,4.0,0.2,0.0,1,T,,0
159506,6.0,,,M,11.0,4.0,U,,5.0,26.0,77.0,15.0,7.0,5.0,62.0,1029.0,415.0,109.0,17.0,17.0,13.0,0.0,51.0,23.0,52.0,88.0,1.0,17789.0,S,5.4,5.29,5.0,0.556,7.0,0.368,1.0,2,R,,1
64418,5.0,1.0,85.0,M,4.0,1.0,H,4.0,15.0,21.0,77.0,8.0,15.0,5.0,57.0,1174.0,696.0,80.0,20.0,20.0,12.0,0.0,32.0,24.0,37.0,96.0,1.0,29076.0,A,0.0,15.0,0.0,0.0,1.0,0.056,11.0,1,C,9.0,0
11075,7.0,1.0,82.0,F,6.0,2.0,H,5.0,23.0,24.0,215.0,15.0,26.0,3.0,91.0,2250.0,268.0,91.0,8.0,19.0,31.0,0.0,17.0,84.0,16.0,39.0,0.0,5500.0,A,11.0,11.33,2.0,0.2,3.0,0.143,0.0,2,R,2.0,0
135017,6.0,4.0,87.0,F,4.0,2.0,U,1.0,25.0,23.0,187.0,7.0,37.0,15.0,56.0,564.0,137.0,,15.0,15.0,13.0,0.0,55.0,14.0,50.0,80.0,0.0,12755.0,A,35.0,32.33,1.0,0.091,3.0,0.15,0.0,3,C,3.0,0
89772,8.0,2.0,,M,13.0,2.0,H,3.0,9.0,33.0,123.0,20.0,10.0,,77.0,1039.0,385.0,126.0,5.667649778752445,17.0,20.0,0.0,31.0,33.0,20.0,72.0,1.0,18197.0,F,6.67,7.67,3.0,0.3,6.0,0.316,2.0,2,C,6.0,0
61413,2.0,4.0,64.0,F,1.0,1.0,H,5.0,15.0,3.0,15.0,1.0,15.0,15.0,8.0,908.0,395.0,17.0,5.667649778752445,17.0,5.0,0.0,42.0,18.0,47.0,96.0,0.0,13970.0,F,15.0,15.0,1.0,0.5,1.0,0.2,0.0,3,C,,0
150986,2.1272071718274264,1.0,72.0,M,7.0,3.0,H,6.0,10.0,23.0,96.0,14.0,10.0,,55.0,1851.0,472.0,68.0,18.0,18.0,14.0,0.0,22.0,12.0,36.0,79.0,1.0,17217.0,S,8.0,8.17,3.0,0.273,6.0,0.3,1.0,2,U,,0
101676,6.0,0.0,63.0,,5.0,2.0,H,6.0,15.0,22.0,81.0,8.0,15.0,3.0,54.0,1162.0,529.0,88.0,,20.0,13.0,0.0,35.0,48.0,15.0,79.0,1.0,18860.0,A,13.5,14.0,2.0,0.25,3.0,0.167,0.0,1,C,9.0,1
130069,6.0,3.0,60.0,F,8.0,4.0,U,4.0,10.0,31.0,163.0,19.0,15.0,5.0,71.0,782.0,387.0,125.0,19.0,19.0,15.0,0.0,27.0,54.0,10.0,75.0,1.0,15009.0,S,11.67,10.71,6.3363646096792285,0.273,7.0,0.318,1.0,2,U,5.0,0
81370,6.0,,41.0,F,1.0,3.0,H,2.0,25.0,11.0,85.0,4.0,25.0,15.0,26.0,301.0,183.0,29.0,16.0,16.0,14.0,0.0,28.0,28.0,36.0,77.0,0.0,8738.0,A,20.0,23.33,1.0,0.143,3.0,0.214,0.0,3,R,,0
164026,6.0,2.0,67.0,F,0.0,,U,6.0,15.0,14.0,40.0,4.0,15.0,5.0,31.0,3507.0,761.0,41.0,18.0,18.0,12.0,0.0,0.0,0.0,0.0,90.0,0.0,32587.0,A,0.0,11.67,0.0,0.0,3.0,0.15,0.0,?,?,,0
190726,6.0,2.0,47.0,F,7.0,2.0,U,4.0,17.0,29.0,160.0,14.0,18.0,5.0,58.0,875.0,391.0,124.0,16.0,16.0,13.0,0.0,44.0,23.0,57.0,90.0,0.0,14468.0,A,16.5,17.0,2.0,0.2,4.0,0.25,0.0,?,?,6.0,1
137678,6.0,2.0,73.0,,14.0,4.0,H,2.0,4.0,26.0,126.5,29.0,6.0,3.0,65.0,786.0,220.0,93.0,19.0,19.0,13.0,0.0,48.0,19.0,41.0,78.0,1.0,11624.0,S,4.5,4.36,8.0,0.727,11.0,0.579,1.0,2,R,,0
183534,6.0,4.0,77.0,M,1.0,1.0,H,2.0,25.0,15.0,41.0,3.0,25.0,5.0,35.0,353.0,192.0,44.0,18.0,18.0,13.0,0.0,42.0,14.0,51.0,72.0,0.0,11101.0,A,0.0,25.0,0.0,,1.0,0.053,0.0,3,C,,0
132717,6.0,3.0,,M,8.0,1.0,H,4.0,20.0,31.0,260.0,14.0,30.0,10.0,73.0,613.0,225.0,116.0,19.0,19.0,13.0,2.0,64.80438529221658,30.0,38.0,76.0,1.0,9944.0,A,0.0,20.0,0.0,0.0,1.0,0.5319211033593158,0.0,2,R,3.0,0
168666,6.0,4.0,,M,8.0,4.0,U,,4.0,14.0,40.0,10.0,6.0,3.0,34.0,2066.0,290.0,38.0,,17.0,13.0,0.0,22.0,24.0,46.0,33.0,1.0,13469.0,S,4.14,4.11,7.0,,9.0,0.5,1.0,1,U,,0
91804,6.0,0.0,,F,0.0,3.0,U,,10.0,9.0,36.0,4.0,11.0,5.0,25.0,756.0,541.0,30.0,15.0,15.0,13.0,0.0,38.0,30.0,28.0,97.0,0.0,18646.0,A,0.0,8.67,0.0,0.0,3.0,0.231,0.0,,S,,0
138833,6.0,0.0,75.0,M,2.0,4.0,H,3.0,9.0,13.0,45.0,6.0,10.0,5.0,34.0,661.0,225.0,44.0,18.0,18.0,12.0,0.0,0.0,0.0,0.0,76.0,0.0,10409.0,A,9.0,8.75,1.0,0.143,4.0,0.235,0.0,3,T,,0
92885,4.0,2.0,69.0,M,5.0,3.0,H,1.0,6.0,17.0,47.98,7.0,11.0,3.0,42.0,455.0,163.0,77.0,15.0,,9.0,0.0,31.0,27.0,38.0,32.0,1.0,6358.0,A,5.0,8.0,1.0,0.167,2.0,,0.0,4,U,4.0,0
189202,2.0,0.0,,M,3.0,4.0,U,,10.0,8.0,47.0,5.0,12.0,3.0,17.0,660.0,347.0,45.0,21.0,21.0,4.0,0.0,39.0,21.0,41.0,50.0,0.0,19149.0,E,11.0,11.33,2.0,0.5,3.0,0.375,0.0,2,C,4.0,0
181393,6.0,4.0,76.0,F,21.0,1.0,U,,25.0,35.0,422.0,33.0,25.0,5.0,86.0,275.0,226.0,124.0,18.0,18.0,13.0,2.0,29.0,44.0,9.0,58.0,1.0,6808.0,A,21.0,21.0,2.0,0.7886151131221589,2.0,0.091,13.0,3,R,5.0,0
55503,6.0,1.0,83.0,M,1.0,3.0,U,2.0,10.0,10.0,42.0,5.0,11.0,5.0,24.0,506.0,155.0,28.0,18.0,21.0,12.0,2.0,28.0,38.0,23.0,88.0,0.0,7983.0,A,10.0,7.5,1.0,0.167,2.0,0.167,0.0,2,R,,1
52548,7.0,4.0,60.0,M,2.0,2.0,U,1.0,25.0,44.3709612819878,95.0,7.0,25.0,6.0,56.0,457.0,203.0,76.0,18.0,23.0,14.0,0.0,30.0,30.0,34.0,67.0,0.0,10766.0,A,0.0,14.0,0.0,0.0,2.0,0.095,0.0,2,R,3.0,1
37472,5.0,2.0,,M,1.0,1.0,U,,20.0,6.0,20.0,1.0,20.0,20.0,14.0,825.0,233.0,16.0,16.0,16.0,12.0,0.0,0.0,0.0,0.0,42.0,1.0,9747.0,F,20.0,20.0,1.0,0.5,1.0,0.2,0.0,3,C,,1
181462,6.0,1.0,77.0,F,4.0,1.0,U,2.0,23.0,23.0,92.0,6.0,23.0,5.0,58.0,978.0,312.0,89.0,18.0,18.0,13.0,2.0,42.0,39.0,28.0,83.0,0.0,12859.0,A,-22.840188030092058,23.0,0.0,0.0,1.0,0.053,0.0,1,R,3.0,1
130684,6.0,2.0,,U,7.0,4.0,U,,6.0,17.0,81.0,18.0,8.0,3.0,45.0,1175.0,586.0,45.0,18.0,18.0,14.0,15.839635330932808,36.0,46.0,,92.0,1.0,22215.0,S,4.8,4.67,5.0,0.455,9.0,0.474,1.0,1,T,5.0,1
70597,6.0,4.0,55.0,F,5.0,3.0,H,4.0,14.0,14.0,61.0,6.0,14.0,5.0,34.0,443.0,229.0,41.0,,16.0,13.0,1.0,37.0,18.0,34.0,91.0,1.0,8259.0,A,11.25,11.2,4.0,0.444,5.0,0.278,0.0,2,R,,0
44370,5.0,0.0,82.0,F,13.0,3.0,H,3.0,5.0,29.0,80.0,18.0,6.0,2.0,62.0,1226.0,354.0,128.0,15.0,15.0,10.0,0.0,60.0,7.0,75.0,90.0,1.0,21501.0,S,5.0,5.0,4.0,0.444,5.0,,1.0,2,C,7.0,1
89397,2.0,1.0,81.0,M,4.0,1.0,H,4.0,23.0,14.0,103.0,6.0,25.0,5.0,38.0,1057.0,383.0,113.0,,17.0,6.0,0.0,20.0,27.0,45.0,92.0,0.0,12620.0,A,,23.0,0.0,0.0,1.0,0.2,0.0,2,S,,0
58885,6.0,1.0,65.0,F,5.0,3.0,H,7.0,10.0,44.3709612819878,71.0,9.0,10.0,5.0,33.0,315.0,232.0,41.0,17.0,17.0,12.0,0.0,,32.0,32.0,79.0,1.0,10298.0,S,8.75,8.43,4.0,0.4,7.0,0.368,1.0,3,R,,0
80968,3.0,1.0,45.0,F,1.0,1.0,H,,15.0,5.0,15.0,1.0,15.0,15.0,13.0,619.0,179.0,21.0,21.0,21.0,8.0,0.0,48.0,23.0,46.0,92.0,0.0,8636.0,F,15.0,15.0,1.0,0.333,1.0,0.143,0.0,2,R,,0
130483,8.0,1.0,51.0,F,11.0,1.0,U,4.0,6.0,18.0,162.0,20.0,20.0,4.0,41.0,953.0,317.0,62.0,15.0,16.0,21.0,2.0,,-17.24587688979588,26.0,22.0,1.0,34275.0,F,16.5,16.5,2.0,0.4,2.0,0.2,7.0,1,S,,0
93565,6.0,3.0,61.0,F,6.0,1.0,U,5.0,15.0,19.0,71.0,7.0,15.0,3.0,49.0,,266.0,65.0,18.0,18.0,13.0,0.0,13.0,34.0,0.0,22.0,1.0,8088.0,A,11.67,12.5,3.0,0.3,4.0,0.19,5.0,3,U,1.0,0
111199,3.0,0.0,,M,1.0,1.0,U,,20.0,7.0,20.0,1.0,20.0,20.0,17.0,671.0,360.0,23.0,23.0,23.0,8.0,2.0,37.0,17.0,29.0,82.0,0.0,14523.0,N,20.0,20.0,,0.2,1.0,0.091,0.0,2,T,,0
116448,4.0,4.0,70.0,F,1.0,1.0,U,7.0,20.0,13.0,28.0,3.0,,3.0,36.0,564.0,233.0,66.0,26.0,26.0,9.0,0.0,33.0,27.0,35.0,74.0,0.0,12352.0,A,0.0,20.0,0.0,0.0,1.0,0.083,0.0,2,R,,0
87127,5.0,1.0,76.0,F,0.0,2.0,U,5.0,15.0,10.0,30.0,3.0,,5.0,22.0,862.0,248.0,28.0,19.0,19.0,10.0,9.0,36.0,31.0,27.0,49.0,0.0,21284.0,A,0.0,10.0,0.0,0.0,2.0,0.154,0.0,2,C,,1
11620,6.0,2.0,82.0,U,7.0,1.0,U,,15.0,26.0,143.0,14.0,25.0,3.0,84.0,374.0,263.0,99.0,10.0,,26.0,0.0,29.0,16.0,16.0,81.0,1.0,11757.0,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,U,0.0,0
155371,6.0,2.0,74.0,U,5.0,1.0,H,3.0,10.0,30.0,129.0,19.0,10.0,3.0,68.0,878.0,296.0,113.0,24.0,24.0,12.0,0.0,28.0,28.0,52.0,58.0,1.0,12389.0,A,0.0,8.67,0.0,0.0,3.0,0.136,0.0,3,U,3.0,0
180617,6.0,4.0,76.0,M,16.0,3.0,U,,10.0,34.0,224.5,30.0,20.0,2.5,81.0,824.0,225.0,124.0,15.0,15.0,13.0,,25.0,31.0,31.0,46.0,1.0,13090.0,S,15.0,13.0,3.0,0.273,5.0,0.25,1.0,2,C,8.0,1
135286,,0.0,33.0,F,1.0,1.0,H,5.0,15.0,5.0,15.0,1.0,15.0,15.0,13.0,1425.0,536.0,17.0,17.0,17.0,10.0,0.0,49.0,30.0,47.0,97.0,,24492.0,F,15.0,15.0,1.0,0.5,,0.2,0.0,1,U,,0
98452,6.0,1.0,,F,2.0,2.0,U,7.0,20.0,8.0,30.0,2.0,20.0,10.0,19.0,413.0,269.0,21.0,16.0,16.0,14.0,0.0,33.0,23.0,51.0,77.0,0.0,12912.0,N,15.0,15.0,2.0,0.5,9.170049552913412,0.25,0.0,2,R,,0
30366,6.0,2.0,61.0,M,10.0,4.0,H,5.0,7.0,26.0,420.94903942345087,16.0,7.0,3.0,66.0,1429.0,724.0,111.0,15.0,15.0,15.0,2.0,46.0,18.0,57.0,90.0,1.0,34070.0,A,7.0,7.0,4.0,0.5,6.0,0.316,0.0,1,C,,1
97543,6.0,0.0,59.0,M,8.0,2.0,U,,20.0,26.0,113.0,12.0,25.0,,65.0,373.0,220.0,113.0,17.0,17.0,,0.0,43.0,30.0,31.0,69.0,1.0,11745.0,,15.0,17.5,3.0,0.273,4.0,0.19,1.0,2,T,2.0,0
